"CLASS","MFR","CAR LINE","DISPLACEMENT","NUMB CYL","TRANS","DRIVE SYS","CITY MPG (GUIDE)","HWY MPG (GUIDE)","COMB MPG (GUIDE)","UNRND CITY (EPA)","UNRND HWY (EPA)","UNRND COMP (EPA)","FUEL TYPE","GUZLR","TURBO","SPCHGR","AVG 2D PASS VOL","AVG 2D LUGG VOL","AVG 4D PAS VOL","AVG 4D LUGG VOL","AVG HB PAS VOL","AVG HB LUGG VOL","ANL FL CST","ENG BLK TXT","TRANS DESC TXT","VLVS PER CYL","CLS","REL DT"
"TWO SEATERS","AUDI","TT ROADSTER",1.8,4,"Auto(S6)","F",20,28,23,22,36.2,26.72,"P",,"T",,,,,,,,1566," ","3MODE CLKUP ",5,1,
"TWO SEATERS","AUDI","TT ROADSTER QUATTRO",1.8,4,"Manual(M6)",4,20,29,23,22.18,36.56,26.95,"P",,"T",,,,,,,,1566," ",,5,1,
"TWO SEATERS","AUDI","TT ROADSTER QUATTRO",3.2,6,"Auto(S6)",4,19,25,21,20.66,32.52,24.72,"P",,,,,,,,,,1714," ","3MODE ",5,1,
"TWO SEATERS","CADILLAC","XLR",4.6,8,"Auto(S5)","R",17,25,19,18.4,31.7,22.68,"P",,,,,,,,,,1894," ","2MODE CLKUP ",4,1,
"TWO SEATERS","CHEVROLET","CORVETTE",6,8,"Manual(M6)","R",18,28,21,19.8,36.4,24.91,"P",,,,,,,,,,1714," ",,2,1,
"TWO SEATERS","CHEVROLET","CORVETTE",6,8,"Auto(S6)","R",17,27,21,18.9,35.1,23.85,"P",,,,,,,,,,1714," ","3MODE CLKUP ",2,1,
"TWO SEATERS","CHEVROLET","CORVETTE",7,8,"Manual(M6)","R",16,26,20,18.3,33.6,23.02,"P",,,,,,,,,,1800," ",,2,1,
"TWO SEATERS","CHRYSLER","CROSSFIRE COUPE",3.2,6,"Auto(L5)","R",21,28,24,23.4,35.4,27.61,"P",,,,,,,,,,1501," ","CLKUP ",3,1,
"TWO SEATERS","CHRYSLER","CROSSFIRE COUPE",3.2,6,"Auto(L5)","R",17,24,20,19.1,30.9,23.06,"P",,,"S",,,,,,,1800," ","CLKUP ",3,1,
"TWO SEATERS","CHRYSLER","CROSSFIRE COUPE",3.2,6,"Manual(M6)","R",17,25,20,18.8,32.4,23.18,"P",,,,,,,,,,1800," ",,3,1,
"TWO SEATERS","CHRYSLER","CROSSFIRE ROADSTER",3.2,6,"Auto(L5)","R",21,28,24,23.4,35.4,27.61,"P",,,,,,,,,,1501," ","CLKUP ",3,1,
"TWO SEATERS","CHRYSLER","CROSSFIRE ROADSTER",3.2,6,"Auto(L5)","R",17,24,20,19.1,30.9,23.06,"P",,,"S",,,,,,,1800," ","CLKUP ",3,1,
"TWO SEATERS","CHRYSLER","CROSSFIRE ROADSTER",3.2,6,"Manual(M6)","R",17,25,20,18.8,32.4,23.18,"P",,,,,,,,,,1800," ",,3,1,
"TWO SEATERS","DODGE","VIPER CONVERTIBLE",8.3,10,"Manual(M6)","R",12,20,15,13.4,25.9,17.12,"P","G",,,,,,,,,2401," ",,2,1,
"TWO SEATERS","FERRARI","F430",4.3,8,"Auto(A6)","R",12,17,14,13.7,22.45,16.61,"P","G",,,,,,,,,2570," ","SIL 3MODE ",4,1,
"TWO SEATERS","FERRARI","F430",4.3,8,"Manual(M6)","R",13,17,14,13.9,22.3,16.74,"P","G",,,,,,,,,2570," ","SIL ",4,1,
"TWO SEATERS","HONDA","INSIGHT",1,3,"Auto(AV)","F",57,56,56,62.8,71.4,66.4,"R",,,,,,,,,,591,"HEV","EMS ",4,1,
"TWO SEATERS","HONDA","INSIGHT",1,3,"Manual(M5)","F",60,66,63,67,84.2,73.78,"R",,,,,,,,,,525,"HEV","SIL EMS ",4,1,
"TWO SEATERS","HONDA","S2000",2.2,4,"Manual(M6)","R",20,26,22,22.2,33.1,26.06,"P",,,,,,,,,,1638," ",,4,1,
"TWO SEATERS","MAZDA","MX-5",2,4,"Manual(M5)","R",25,30,27,27.4,38,31.33,"P",,,,,,,,,,1332," ",,4,1,
"TWO SEATERS","MAZDA","MX-5",2,4,"Manual(M6)","R",24,30,27,27.04,38.58,31.25,"P",,,,,,,,,,1332," ",,4,1,
"TWO SEATERS","MAZDA","MX-5",2,4,"Auto(S6)","R",23,30,26,25.42,38.92,30.12,"P",,,,,,,,,,1386," ","DC/FW",4,1,
"TWO SEATERS","MERCEDES-BENZ","SL500",5,8,"Auto(L7)","R",16,24,18,17.3,30.2,21.42,"P","G",,,50,7,,,,,2002," ","EMS 2MODE CLKUP",3,1,
"TWO SEATERS","MERCEDES-BENZ","SL55 AMG",5.4,8,"Auto(S5)","R",14,20,16,15.3,25.6,18.68,"P","G",,"S",50,7,,,,,2250," ","EMS 2MODE CLKUP",3,1,
"TWO SEATERS","MERCEDES-BENZ","SL600",5.5,12,"Auto(L5)","R",13,19,15,14.1,24.3,17.38,"P","G","T",,50,7,,,,,2401," ","EMS 2MODE CLKUP",3,1,
"TWO SEATERS","MERCEDES-BENZ","SL65 AMG",6,12,"Auto(S5)","R",13,19,15,14.4,24.9,17.77,"P","G","T",,50,7,,,,,2401," ","EMS 2MODE CLKUP",3,1,
"TWO SEATERS","MERCEDES-BENZ","SLK280",3,6,"Auto(L7)","R",20,27,23,22.5,34.8,26.76,"P",,,,49,7,,,,,1566," ","EMS 2MODE CLKUP",4,1,
"TWO SEATERS","MERCEDES-BENZ","SLK280",3,6,"Manual(M6)","R",19,27,22,21.6,35,26.1,"P",,,,49,7,,,,,1638," ","EMS ",4,1,
"TWO SEATERS","MERCEDES-BENZ","SLK350",3.5,6,"Auto(L7)","R",19,24,21,21.3,30.8,24.73,"P",,,,49,7,,,,,1714," ","EMS 2MODE CLKUP",4,1,
"TWO SEATERS","MERCEDES-BENZ","SLK350",3.5,6,"Manual(M6)","R",18,25,21,20.2,32.5,24.35,"P",,,,49,7,,,,,1714," ","EMS ",4,1,
"TWO SEATERS","MERCEDES-BENZ","SLK55 AMG",5.4,8,"Auto(S7)","R",16,22,18,17.4,28.1,21,"P","G",,,49,7,,,,,2002," ","EMS 2MODE CLKUP",3,1,
"TWO SEATERS","MERCEDES-BENZ","SLR",5.4,8,"Auto(S5)","R",13,17,14,13.9,22.22,16.72,"P","G",,"S",48,10,,,,,2570," ","EMS 2MODE CLKUP",3,1,
"TWO SEATERS","NISSAN","350Z",3.5,6,"Manual(M6)","R",19,25,21,21.36,32.18,25.17,"P",,,,,,,,,,1714," ",,4,1,
"TWO SEATERS","NISSAN","350Z",3.5,6,"Auto(S5)","R",19,25,21,20.85,31.83,24.68,"P",,,,,,,,,,1714," ","CLKUP ",4,1,
"TWO SEATERS","NISSAN","350Z ROADSTER",3.5,6,"Manual(M6)","R",19,25,21,20.9,31.6,24.66,"P",,,,,,,,,,1714," ",,4,1,
"TWO SEATERS","NISSAN","350Z ROADSTER",3.5,6,"Auto(S5)","R",18,24,21,20.3,31.3,24.11,"P",,,,,,,,,,1714," ","CLKUP ",4,1,
"TWO SEATERS","PONTIAC","SOLSTICE",2.4,4,"Manual(M5)","R",20,28,23,21.9,36.3,26.66,"R",,,,,,,,,,1436," ",,4,1,
"TWO SEATERS","PORSCHE","BOXSTER",2.7,6,"Auto(L5)","R",18,26,21,20.55,33.5,24.88,"P",,,,,,,,,,1714," ","2MODE ",4,1,
"TWO SEATERS","PORSCHE","BOXSTER",2.7,6,"Manual(M5)","R",20,29,23,22.1,37.3,27.06,"P",,,,,,,,,,1566," ",,4,1,
"TWO SEATERS","PORSCHE","BOXSTER",2.7,6,"Manual(M6)","R",20,28,23,22.5,36.3,27.14,"P",,,,,,,,,,1566," ",,4,1,
"TWO SEATERS","PORSCHE","BOXSTER S",3.2,6,"Auto(L5)","R",18,27,21,20.24,34.1,24.77,"P",,,,,,,,,,1714," ","2MODE ",4,1,
"TWO SEATERS","PORSCHE","BOXSTER S",3.2,6,"Manual(M6)","R",19,27,22,21.5,34.4,25.86,"P",,,,,,,,,,1638," ",,4,1,
"MINICOMPACT CARS","ASTON MARTIN","DB9 COUPE",5.9,12,"Auto(S6)","R",12,19,15,13.6,24.4,16.98,"P","G",,,78,5,,,,,2401," ","CLKUP ",4,2,
"MINICOMPACT CARS","ASTON MARTIN","DB9 COUPE MANUAL",5.9,12,"Manual(M6)","R",11,18,13,12.5,22.5,15.63,"P","G",,,78,5,,,,,2768," ",,4,2,
"MINICOMPACT CARS","ASTON MARTIN","DB9 VOLANTE",5.9,12,"Auto(S6)","R",13,18,15,13.9,23.4,17.01,"P","G",,,78,5,,,,,2401," ","CLKUP ",4,2,
"MINICOMPACT CARS","ASTON MARTIN","DB9 VOLANTE MANUAL",5.9,12,"Manual(M6)","R",11,18,13,12.5,22.5,15.63,"P","G",,,78,5,,,,,2768," ",,4,2,
"MINICOMPACT CARS","ASTON MARTIN","V12 VANQUISH S",5.9,12,"Auto(S6)","R",11,17,13,12.13,22,15.19,"P","G",,,78,6,,,,,2768," ","CLKUP ",4,2,
"MINICOMPACT CARS","AUDI","TT COUPE",1.8,4,"Auto(S6)","F",21,29,24,23.1,37.1,27.83,"P",,"T",,,,,,65,14,1501," ","3MODE CLKUP ",5,2,
"MINICOMPACT CARS","AUDI","TT COUPE QUATTRO",1.8,4,"Manual(M6)",4,20,29,23,22.18,36.56,26.95,"P",,"T",,,,,,65,11,1566," ",,5,2,
"MINICOMPACT CARS","AUDI","TT COUPE QUATTRO",3.2,6,"Auto(S6)",4,19,26,22,21.26,33.23,25.37,"P",,,,,,,,65,11,1638," ","3MODE ",5,2,
"MINICOMPACT CARS","BMW","325CI CONVERTIBLE",2.5,6,"Manual(M5)","R",19,27,22,20.8,34.5,25.33,"P",,,,74,9,,,,,1638," ",,4,2,
"MINICOMPACT CARS","BMW","325CI CONVERTIBLE",2.5,6,"Auto(S5)","R",18,26,21,20.5,33.9,24.94,"P",,,,74,9,,,,,1714," ","3MODE CLKUP ",4,2,
"MINICOMPACT CARS","BMW","330CI CONVERTIBLE",3,6,"Manual(M6)","R",19,28,23,21.6,36.5,26.46,"P",,,,74,9,,,,,1566," ",,4,2,
"MINICOMPACT CARS","BMW","330CI CONVERTIBLE",3,6,"Auto(S5)","R",18,25,21,20.2,32.25,24.29,"P",,,,74,9,,,,,1714," ","3MODE CLKUP ",4,2,
"MINICOMPACT CARS","BMW","M3 CONVERTIBLE",3.2,6,"Manual(M6)","R",16,23,18,17.5,29.54,21.43,"P","G",,,74,9,,,,,2002,"MOTORSPORT",,4,2,
"MINICOMPACT CARS","BMW","M3 CONVERTIBLE",3.2,6,"Auto(S6)","R",16,22,18,17.72,28.12,21.26,"P","G",,,74,9,,,,,2002,"MOTORSPORT","6MODE ",4,2,
"MINICOMPACT CARS","JAGUAR","JAGUAR XK8 CONVERTIBLE",4.2,8,"Auto(L6)","R",18,26,21,19.6,33.04,23.99,"P",,,,70,10,,,,,1714," ","2MODE CLKUP ",4,2,
"MINICOMPACT CARS","JAGUAR","JAGUAR XKR CONVERTIBLE",4.2,8,"Auto(L6)","R",17,24,19,18.65,30.55,22.61,"P",,,"S",70,10,,,,,1894," ","2MODE CLKUP ",4,2,
"MINICOMPACT CARS","LEXUS","SC 430",4.3,8,"Auto(S6)","R",19,25,21,20.75,32.15,24.69,"P",,,,75,9,,,,,1714," ","2MODE CLKUP ",4,2,
"MINICOMPACT CARS","MINI","MINI COOPER",1.6,4,"Auto(AV)","F",26,34,29,28.9,44.2,34.23,"P",,,,77,7,,,,,1242," ","2MODE ",4,2,
"MINICOMPACT CARS","MINI","MINI COOPER",1.6,4,"Manual(M5)","F",28,36,31,31.1,46.7,36.6,"P",,,,77,7,,,,,1163," ",,4,2,
"MINICOMPACT CARS","MINI","MINI COOPER CONVERTIBLE",1.6,4,"Auto(AV)","F",26,33,29,28.8,41.9,33.52,"P",,,,70,7,,,,,1242," ","2MODE ",4,2,
"MINICOMPACT CARS","MINI","MINI COOPER CONVERTIBLE",1.6,4,"Manual(M5)","F",27,35,30,30.4,45.2,35.65,"P",,,,70,7,,,,,1199," ",,4,2,
"MINICOMPACT CARS","MINI","MINI COOPER S",1.6,4,"Manual(M6)","F",25,32,27,27.34,40.92,32.14,"P",,,,77,7,,,,,1332," ",,4,2,
"MINICOMPACT CARS","MINI","MINI COOPER S",1.6,4,"Auto(S6)","F",23,32,27,26.06,40.96,31.16,"P",,,,77,7,,,,,1332," ","3MODE CLKUP ",4,2,
"MINICOMPACT CARS","MINI","MINI COOPER S CONVERTIBLE",1.6,4,"Manual(M6)","F",25,32,27,27.34,40.92,32.14,"P",,,,70,7,,,,,1332," ",,4,2,
"MINICOMPACT CARS","MINI","MINI COOPER S CONVERTIBLE",1.6,4,"Auto(S6)","F",23,32,27,26.06,40.96,31.16,"P",,,,70,7,,,,,1332," ","3MODE CLKUP ",4,2,
"MINICOMPACT CARS","PORSCHE","CARRERA 2 CABRIOLET",3.6,6,"Auto(L5)","R",19,26,22,20.86,33.83,25.21,"P",,,,68,5,,,,,1638," ","2MODE ",4,2,
"MINICOMPACT CARS","PORSCHE","CARRERA 2 CABRIOLET",3.6,6,"Manual(M6)","R",18,26,21,20.46,33.52,24.81,"P",,,,68,5,,,,,1714," ",,4,2,
"MINICOMPACT CARS","PORSCHE","CARRERA 2 COUPE",3.6,6,"Auto(L5)","R",19,26,22,20.86,33.83,25.21,"P",,,,70,5,,,,,1638," ","2MODE ",4,2,
"MINICOMPACT CARS","PORSCHE","CARRERA 2 COUPE",3.6,6,"Manual(M6)","R",18,26,21,20.46,33.52,24.81,"P",,,,70,5,,,,,1714," ",,4,2,
